Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
2024-12-10 12:03:17.979082,0,0,0,0
2024-12-10 12:03:18.939369,0,0,0,0
2024-12-10 12:03:19.124356,0,0,0,0
2024-12-10 12:03:19.324130,0,0,0,0
2024-12-10 12:03:19.538320,0,0,0,0
2024-12-10 12:03:19.773315,0,0,0,0
2024-12-10 12:03:20.083855,0,0,0,0
2024-12-10 12:03:20.260790,0,0,0,0
2024-12-10 12:03:20.401552,0,0,0,0
2024-12-10 12:03:20.552783,0,0,0,0
2024-12-10 12:03:20.692660,0,0,0,0
2024-12-10 12:03:21.008335,0,0,0,0
2024-12-10 12:03:21.155420,0,0,0,0
2024-12-10 12:03:21.310883,0,0,0,0
2024-12-10 12:03:21.588574,0,0,0,0
2024-12-10 12:03:21.800427,0,0,0,0
2024-12-10 12:03:21.945725,0,0,0,0
2024-12-10 12:03:22.109391,0,0,0,0
2024-12-10 12:03:22.280964,0,0,0,0
2024-12-10 12:03:22.418423,0,0,0,0
2024-12-10 12:03:22.572021,0,0,0,0
2024-12-10 12:03:22.794470,0,0,0,0
2024-12-10 12:03:22.947533,0,0,0,0
2024-12-10 12:03:23.106656,0,0,0,0
2024-12-10 12:03:23.285704,0,0,0,0
2024-12-10 12:03:23.454513,0,0,0,0
2024-12-10 12:03:23.616263,0,0,0,0
2024-12-10 12:03:23.844426,0,0,0,0
2024-12-10 12:03:24.024871,0,0,0,0
2024-12-10 12:03:24.220679,0,0,0,0
2024-12-10 12:03:24.378627,0,0,0,0
2024-12-10 12:03:24.538056,0,0,0,0
2024-12-10 12:03:24.706116,0,0,0,0
2024-12-10 12:03:24.872983,0,0,0,0
2024-12-10 12:03:25.055492,0,0,0,0
2024-12-10 12:03:25.231300,0,0,0,0
2024-12-10 12:03:25.415065,0,0,0,0
2024-12-10 12:03:25.596644,0,0,0,0
2024-12-10 12:03:25.803050,0,0,0,0
2024-12-10 12:03:25.990464,0,0,0,0
2024-12-10 12:03:26.153189,0,0,0,0
